pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1135.88680734632	-4.270167029935687	0.373900966300059	0.5025550622312621	down
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	39.62787005	1510.3275073664201	-2.979632622393318	0.16757092399414303	0.5025550622312621	down
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	97.82666228574	3.1286889774059428	0.09044552321550253	0.5025550622312621	up
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	27.255148827600003	736.48132281706	-3.295157522706315	0.2462189700356687	0.5025550622312621	down
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	32.3204246436	896.7480404776601	-2.7842462245542796	0.2696474636299653	0.5025550622312621	down
HISDEG-PWY	L-histidine degradation I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	9.664796688400001	1066.0862685034	-0.7153781697454118	0.5952403409463262	0.701172714542565	down
HISTSYN-PWY	L-histidine biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	15.545886302000001	1691.02385346907	-2.0040345950246556	0.38735157395651737	0.5150951781336667	down
HSERMETANA-PWY	L-methionine biosynthesis III	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	78.1303739249	2222.6533974297004	-0.2854149560721236	0.7166745628260182	0.7789940900282806	ns
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	130.6300027037	2719.32928466683	-0.21528134619379483	0.744819777530666	0.7957476255669508	ns
NONMEVIPP-PWY	methylerythritol phosphate pathway I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	871.8938694594599	-2.8686743801269947	0.13726462050376756	0.5025550622312621	down
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	20.1544623675	507.10649952503	-1.7518380898697916	0.044580790778077535	0.5025550622312621	down
ORNDEG-PWY	superpathway of ornithine degradation	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	33.311038376300004		0.5952943593236331	0.6494704362534103	0.7341376939474497	up
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	55.145487090100005	1207.6127793445698	-0.4340674727586848	0.6003273517801764	0.7013169997431967	ns
P108-PWY	pyruvate fermentation to propanoate I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	12.5038494843	847.8375848257799	-1.8754745730328815	0.39669041592909365	0.524722772392981	down
P124-PWY	Bifidobacterium shunt	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	217.48309478244	-3.437001346220277	0.373900966300059	0.5025550622312621	down
P161-PWY	acetylene degradation (anaerobic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	44.2506655489	549.76641538205	-1.3935132336953613	0.20489571587500327	0.5025550622312621	down
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	352.77591730015	-4.068045978179151	0.258242450212998	0.5025550622312621	down
P23-PWY	reductive TCA cycle I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	36.8237213197	1194.31505764695	-1.9574821888362621	0.24021801864785947	0.5025550622312621	down
P42-PWY	incomplete reductive TCA cycle	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	47.8256244526	1913.5619658149499	0.07659667653065097	0.9119896860791477	0.923066483885777	ns
PANTO-PWY	phosphopantothenate biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	26.6092953915	1059.29295232443	-0.6295503517200065	0.4868869148540103	0.6018862204236534	down
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	37.1947325509	1023.1461699786502	-0.6251286737313639	0.5348651112295647	0.6459723565574453	down
PENTOSE-P-PWY	pentose phosphate pathway	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	21.3932042347	530.72126098695	-3.078554823327702	0.04349958221183999	0.5025550622312621	down
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	15.006902123900002	541.56566595044	-3.89933763759185	0.25845741195720967	0.5025550622312621	down
PHOTOALL-PWY	oxygenic photosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	429.57753133305994	-2.7155320260941025	0.04174540747540766	0.5025550622312621	down
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	45.63049952773	-2.0757455278309416	0.373900966300059	0.5025550622312621	down
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	37.3652172204	2208.5650729385698	-0.32673178195454894	0.7514477157495393	0.7994124635633397	ns
PPGPPMET-PWY	ppGpp metabolism	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	52.5865704484	394.2350282977201	-1.5148020548463257	0.2633646390367941	0.5025550622312621	down
PWY-101	photosynthesis light reactions	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	143.3095542428	1211.66730514141	-2.7168721845355526	0.0012307614066263137	0.30769035165657843	down
PWY-1042	glycolysis IV	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	60.011640055200004	1514.77207607922	-1.7418322324436826	0.3309343931944942	0.5025550622312621	down
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	7.3193388733	52.82385248004	-1.3009248347824616	0.373900966300059	0.5025550622312621	down
PWY-1422	vitamin E biosynthesis (tocopherols)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	65.68688626916001	-2.991717918417441	0.373900966300059	0.5025550622312621	down
PWY-181	photorespiration	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	156.83377645886003	-3.69159046935827	0.3739009663000589	0.5025550622312621	down
PWY-2201	folate transformations I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	855.7646134266499	-2.1978745626862617	0.4591438840832199	0.5739298551040248	down
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	49.1355970472	2252.65598129527	-2.052829915478932	0.30364901791586263	0.5025550622312621	down
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	26.345286474979996	1.509328207353572	0.373900966300059	0.5025550622312621	up
PWY-2941	L-lysine biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1025.8162687879599	-2.444197299057672	0.43604345744129985	0.5677649185433592	down
PWY-3001	superpathway of L-isoleucine biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	64.22567206810001	2042.9742814950102	-1.4706821836404453	0.27031210064859484	0.5025550622312621	down
PWY-3781	aerobic respiration I (cytochrome c)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	386.9945096738	677.3409965254	-1.6604282014083585	0.15227756878845702	0.5025550622312621	down
PWY-3841	folate transformations II (plants)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	63.2258314967	2049.2101777339603	-1.4161721427631824	0.2532686720230167	0.5025550622312621	down
PWY-4984	urea cycle	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	43.4497783717	1608.71046273654	-1.7405628173043821	0.2616745593298147	0.5025550622312621	down
PWY-5097	L-lysine biosynthesis VI	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	17.2457214215	1088.56857532793	-3.385911944628034	0.19797636371105734	0.5025550622312621	down
PWY-5101	L-isoleucine biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	41.9500073714	725.07407633805	-4.106513793383642	0.2650187524249891	0.5025550622312621	down
